"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"23.04.2018 04:45 - 23.04.2018 05:00","42580","44451"
"23.04.2018 05:00 - 23.04.2018 05:15","43985","45764"
"23.04.2018 05:15 - 23.04.2018 05:30","44932","46992"
"23.04.2018 05:30 - 23.04.2018 05:45","46356","49044"
"23.04.2018 05:45 - 23.04.2018 06:00","48260","50904"
"23.04.2018 06:00 - 23.04.2018 06:15","51533","55060"
"23.04.2018 06:15 - 23.04.2018 06:30","53867","57153"
"23.04.2018 06:30 - 23.04.2018 06:45","55642","58902"
"23.04.2018 06:45 - 23.04.2018 07:00","57200","59913"
"23.04.2018 07:00 - 23.04.2018 07:15","58945","61936"
"23.04.2018 07:15 - 23.04.2018 07:30","60098","62769"
"23.04.2018 07:30 - 23.04.2018 07:45","60947","63850"
"23.04.2018 07:45 - 23.04.2018 08:00","62010","64611"
"23.04.2018 08:00 - 23.04.2018 08:15","62865","66002"
"23.04.2018 08:15 - 23.04.2018 08:30","63303","66461"
"23.04.2018 08:30 - 23.04.2018 08:45","63625","67002"
"23.04.2018 08:45 - 23.04.2018 09:00","63628","66726"
"23.04.2018 09:00 - 23.04.2018 09:15","63395","65904"
"23.04.2018 09:15 - 23.04.2018 09:30","63633","66763"
"23.04.2018 09:30 - 23.04.2018 09:45","64011","67795"
"23.04.2018 09:45 - 23.04.2018 10:00","64224","68290"
"23.04.2018 10:00 - 23.04.2018 10:15","64477","68749"
"23.04.2018 10:15 - 23.04.2018 10:30","64656","69229"
"23.04.2018 10:30 - 23.04.2018 10:45","64951","69660"
"23.04.2018 10:45 - 23.04.2018 11:00","65324","69795"
"23.04.2018 11:00 - 23.04.2018 11:15","65471","69680"
"23.04.2018 11:15 - 23.04.2018 11:30","65834","70264"
"23.04.2018 11:30 - 23.04.2018 11:45","66106","70295"
"23.04.2018 11:45 - 23.04.2018 12:00","66263","70643"
"23.04.2018 12:00 - 23.04.2018 12:15","65621","70112"
"23.04.2018 12:15 - 23.04.2018 12:30","65355","69948"
"23.04.2018 12:30 - 23.04.2018 12:45","65549","69808"
"23.04.2018 12:45 - 23.04.2018 13:00","65246","69667"
"23.04.2018 13:00 - 23.04.2018 13:15","65514","69478"
"23.04.2018 13:15 - 23.04.2018 13:30","65155","69584"
"23.04.2018 13:30 - 23.04.2018 13:45","64791","69065"
"23.04.2018 13:45 - 23.04.2018 14:00","64697","68201"
"23.04.2018 14:00 - 23.04.2018 14:15","64509","68065"
"23.04.2018 14:15 - 23.04.2018 14:30","64128","68675"
"23.04.2018 14:30 - 23.04.2018 14:45","63472","68633"
"23.04.2018 14:45 - 23.04.2018 15:00","63485","68726"
"23.04.2018 15:00 - 23.04.2018 15:15","62960","67951"
"23.04.2018 15:15 - 23.04.2018 15:30","63290","67829"
"23.04.2018 15:30 - 23.04.2018 15:45","62828","67470"
"23.04.2018 15:45 - 23.04.2018 16:00","62311","67321"
"23.04.2018 16:00 - 23.04.2018 16:15","61951","67597"
"23.04.2018 16:15 - 23.04.2018 16:30","61520","67554"
"23.04.2018 16:30 - 23.04.2018 16:45","60507","67230"
"23.04.2018 16:45 - 23.04.2018 17:00","61541","66657"
"23.04.2018 17:00 - 23.04.2018 17:15","61388","66476"
"23.04.2018 17:15 - 23.04.2018 17:30","61467","66075"
"23.04.2018 17:30 - 23.04.2018 17:45","61371","66110"
"23.04.2018 17:45 - 23.04.2018 18:00","61676","66354"
"23.04.2018 18:00 - 23.04.2018 18:15","61347","66725"
"23.04.2018 18:15 - 23.04.2018 18:30","60892","66381"
"23.04.2018 18:30 - 23.04.2018 18:45","61144","66767"
"23.04.2018 18:45 - 23.04.2018 19:00","61292","66727"
"23.04.2018 19:00 - 23.04.2018 19:15","60937","66783"
"23.04.2018 19:15 - 23.04.2018 19:30","60504","65725"
"23.04.2018 19:30 - 23.04.2018 19:45","60283","65541"
"23.04.2018 19:45 - 23.04.2018 20:00","60368","65042"
"23.04.2018 20:00 - 23.04.2018 20:15","59831","64368"
"23.04.2018 20:15 - 23.04.2018 20:30","59118","64034"
"23.04.2018 20:30 - 23.04.2018 20:45","59028","64041"
"23.04.2018 20:45 - 23.04.2018 21:00","58389","63392"
"23.04.2018 21:00 - 23.04.2018 21:15","58163","62729"
"23.04.2018 21:15 - 23.04.2018 21:30","57520","62133"
"23.04.2018 21:30 - 23.04.2018 21:45","56932","61185"
"23.04.2018 21:45 - 23.04.2018 22:00","55216","59777"
"23.04.2018 22:00 - 23.04.2018 22:15","54722","58322"
"23.04.2018 22:15 - 23.04.2018 22:30","53646","57229"
"23.04.2018 22:30 - 23.04.2018 22:45","52438","55759"
"23.04.2018 22:45 - 23.04.2018 23:00","51424","54273"
"23.04.2018 23:00 - 23.04.2018 23:15","50263","53144"
"23.04.2018 23:15 - 23.04.2018 23:30","49273","52496"
"23.04.2018 23:30 - 23.04.2018 23:45","48217","51299"
"23.04.2018 23:45 - 24.04.2018 00:00","47494","50197"
"24.04.2018 00:00 - 24.04.2018 00:15","46907","48661"
"24.04.2018 00:15 - 24.04.2018 00:30","46252","47744"
"24.04.2018 00:30 - 24.04.2018 00:45","45785","47135"
"24.04.2018 00:45 - 24.04.2018 01:00","45306","46658"
"24.04.2018 01:00 - 24.04.2018 01:15","44770","46377"
"24.04.2018 01:15 - 24.04.2018 01:30","44524","45858"
"24.04.2018 01:30 - 24.04.2018 01:45","44188","45754"
"24.04.2018 01:45 - 24.04.2018 02:00","43861","45513"
"24.04.2018 02:00 - 24.04.2018 02:15","43467","45010"
"24.04.2018 02:15 - 24.04.2018 02:30","43238","45042"
"24.04.2018 02:30 - 24.04.2018 02:45","43220","45209"
"24.04.2018 02:45 - 24.04.2018 03:00","43285","45414"
"24.04.2018 03:00 - 24.04.2018 03:15","43387","44931"
"24.04.2018 03:15 - 24.04.2018 03:30","43491","44996"
"24.04.2018 03:30 - 24.04.2018 03:45","43615","45252"
"24.04.2018 03:45 - 24.04.2018 04:00","43745","45513"
"24.04.2018 04:00 - 24.04.2018 04:15","44227","45349"
"24.04.2018 04:15 - 24.04.2018 04:30","44577","46126"
"24.04.2018 04:30 - 24.04.2018 04:45","45077","47062"
"24.04.2018 04:45 - 24.04.2018 05:00","45549","47651"
"24.04.2018 05:00 - 24.04.2018 05:15","46758","48867"
"24.04.2018 05:15 - 24.04.2018 05:30","47645","50047"
"24.04.2018 05:30 - 24.04.2018 05:45","49023","51570"
"24.04.2018 05:45 - 24.04.2018 06:00","50642","53181"
"24.04.2018 06:00 - 24.04.2018 06:15","53683","56043"
"24.04.2018 06:15 - 24.04.2018 06:30","55638","58019"
"24.04.2018 06:30 - 24.04.2018 06:45","57292","59880"
"24.04.2018 06:45 - 24.04.2018 07:00","58688","60835"
"24.04.2018 07:00 - 24.04.2018 07:15","60266","62705"
"24.04.2018 07:15 - 24.04.2018 07:30","60781","63969"
"24.04.2018 07:30 - 24.04.2018 07:45","61658","64963"
"24.04.2018 07:45 - 24.04.2018 08:00","62460","66226"
"24.04.2018 08:00 - 24.04.2018 08:15","63261","67018"
"24.04.2018 08:15 - 24.04.2018 08:30","63733","68052"
"24.04.2018 08:30 - 24.04.2018 08:45","64091","68333"
"24.04.2018 08:45 - 24.04.2018 09:00","64153","68466"
"24.04.2018 09:00 - 24.04.2018 09:15","63953","67831"
"24.04.2018 09:15 - 24.04.2018 09:30","64193","68320"
"24.04.2018 09:30 - 24.04.2018 09:45","64608","68712"
"24.04.2018 09:45 - 24.04.2018 10:00","64873","69071"
"24.04.2018 10:00 - 24.04.2018 10:15","65041","69519"
"24.04.2018 10:15 - 24.04.2018 10:30","65267","70648"
"24.04.2018 10:30 - 24.04.2018 10:45","65495","70965"
"24.04.2018 10:45 - 24.04.2018 11:00","65854","71375"
"24.04.2018 11:00 - 24.04.2018 11:15","65991","72277"
"24.04.2018 11:15 - 24.04.2018 11:30","66365","72924"
"24.04.2018 11:30 - 24.04.2018 11:45","66616","73257"
"24.04.2018 11:45 - 24.04.2018 12:00","66170","73112"
"24.04.2018 12:00 - 24.04.2018 12:15","66142","72202"
"24.04.2018 12:15 - 24.04.2018 12:30","66185","72184"
"24.04.2018 12:30 - 24.04.2018 12:45","66063","72212"
"24.04.2018 12:45 - 24.04.2018 13:00","66176","72310"
"24.04.2018 13:00 - 24.04.2018 13:15","65762","72680"
"24.04.2018 13:15 - 24.04.2018 13:30","65568","72549"
"24.04.2018 13:30 - 24.04.2018 13:45","65242","72225"
"24.04.2018 13:45 - 24.04.2018 14:00","64671","71257"
"24.04.2018 14:00 - 24.04.2018 14:15","64490","70469"
"24.04.2018 14:15 - 24.04.2018 14:30","64071","70577"
"24.04.2018 14:30 - 24.04.2018 14:45","63739","70308"
"24.04.2018 14:45 - 24.04.2018 15:00","64221","69744"
"24.04.2018 15:00 - 24.04.2018 15:15","64279","68855"
"24.04.2018 15:15 - 24.04.2018 15:30","63495","68224"
"24.04.2018 15:30 - 24.04.2018 15:45","63255","67810"
"24.04.2018 15:45 - 24.04.2018 16:00","62691","66984"
"24.04.2018 16:00 - 24.04.2018 16:15","62636","67020"
"24.04.2018 16:15 - 24.04.2018 16:30","62635","66480"
"24.04.2018 16:30 - 24.04.2018 16:45","62513","66023"
"24.04.2018 16:45 - 24.04.2018 17:00","61903","65606"
"24.04.2018 17:00 - 24.04.2018 17:15","61840","65626"
"24.04.2018 17:15 - 24.04.2018 17:30","61864","66041"
"24.04.2018 17:30 - 24.04.2018 17:45","62009","65956"
"24.04.2018 17:45 - 24.04.2018 18:00","61978","65534"
"24.04.2018 18:00 - 24.04.2018 18:15","61645","65270"
"24.04.2018 18:15 - 24.04.2018 18:30","61595","64814"
"24.04.2018 18:30 - 24.04.2018 18:45","61584","65356"
"24.04.2018 18:45 - 24.04.2018 19:00","61630","65473"
"24.04.2018 19:00 - 24.04.2018 19:15","61607","65804"
"24.04.2018 19:15 - 24.04.2018 19:30","61182","65421"
"24.04.2018 19:30 - 24.04.2018 19:45","60935","65248"
"24.04.2018 19:45 - 24.04.2018 20:00","60737","64800"
"24.04.2018 20:00 - 24.04.2018 20:15","60341","63832"
"24.04.2018 20:15 - 24.04.2018 20:30","59918","63514"
"24.04.2018 20:30 - 24.04.2018 20:45","59501","63485"
"24.04.2018 20:45 - 24.04.2018 21:00","59167","63134"
"24.04.2018 21:00 - 24.04.2018 21:15","58589","62758"
"24.04.2018 21:15 - 24.04.2018 21:30","57936","61977"
"24.04.2018 21:30 - 24.04.2018 21:45","56989","60663"
"24.04.2018 21:45 - 24.04.2018 22:00","56079","59759"
"24.04.2018 22:00 - 24.04.2018 22:15","55506","58635"
"24.04.2018 22:15 - 24.04.2018 22:30","54513","57266"
"24.04.2018 22:30 - 24.04.2018 22:45","53250","56040"
"24.04.2018 22:45 - 24.04.2018 23:00","51908","54727"
"24.04.2018 23:00 - 24.04.2018 23:15","50664","52826"
"24.04.2018 23:15 - 24.04.2018 23:30","49505","51704"
"24.04.2018 23:30 - 24.04.2018 23:45","48565","50704"
"24.04.2018 23:45 - 25.04.2018 00:00","47750","49836"
"25.04.2018 00:00 - 25.04.2018 00:15","48095","48262"
"25.04.2018 00:15 - 25.04.2018 00:30","47470","47436"
"25.04.2018 00:30 - 25.04.2018 00:45","46903","47295"
"25.04.2018 00:45 - 25.04.2018 01:00","46425","46978"
"25.04.2018 01:00 - 25.04.2018 01:15","45851","45974"
"25.04.2018 01:15 - 25.04.2018 01:30","45476","45549"
"25.04.2018 01:30 - 25.04.2018 01:45","45319","45126"
"25.04.2018 01:45 - 25.04.2018 02:00","44997","45037"
"25.04.2018 02:00 - 25.04.2018 02:15","44662","44587"
"25.04.2018 02:15 - 25.04.2018 02:30","44504","44815"
"25.04.2018 02:30 - 25.04.2018 02:45","44638","44840"
"25.04.2018 02:45 - 25.04.2018 03:00","44794","45043"
"25.04.2018 03:00 - 25.04.2018 03:15","44838","45123"
"25.04.2018 03:15 - 25.04.2018 03:30","44924","45416"
"25.04.2018 03:30 - 25.04.2018 03:45","45093","45818"
"25.04.2018 03:45 - 25.04.2018 04:00","45224","45968"
"25.04.2018 04:00 - 25.04.2018 04:15","45682","46507"
"25.04.2018 04:15 - 25.04.2018 04:30","46036","47058"
"25.04.2018 04:30 - 25.04.2018 04:45","46648","47841"
"25.04.2018 04:45 - 25.04.2018 05:00","47264","48717"
"25.04.2018 05:00 - 25.04.2018 05:15","48476","49874"
"25.04.2018 05:15 - 25.04.2018 05:30","49138","51242"
"25.04.2018 05:30 - 25.04.2018 05:45","50394","52497"
"25.04.2018 05:45 - 25.04.2018 06:00","51989","54110"
"25.04.2018 06:00 - 25.04.2018 06:15","54442","56857"
"25.04.2018 06:15 - 25.04.2018 06:30","56616","59424"
"25.04.2018 06:30 - 25.04.2018 06:45","58208","61657"
"25.04.2018 06:45 - 25.04.2018 07:00","59455","63130"
"25.04.2018 07:00 - 25.04.2018 07:15","61113","64685"
"25.04.2018 07:15 - 25.04.2018 07:30","61894","66113"
"25.04.2018 07:30 - 25.04.2018 07:45","62519","67645"
"25.04.2018 07:45 - 25.04.2018 08:00","63156","68134"
"25.04.2018 08:00 - 25.04.2018 08:15","64034","69352"
"25.04.2018 08:15 - 25.04.2018 08:30","64695","70025"
"25.04.2018 08:30 - 25.04.2018 08:45","64943","70492"
"25.04.2018 08:45 - 25.04.2018 09:00","65019","70576"
"25.04.2018 09:00 - 25.04.2018 09:15","64700","69999"
"25.04.2018 09:15 - 25.04.2018 09:30","65188","70789"
"25.04.2018 09:30 - 25.04.2018 09:45","65502","70990"
"25.04.2018 09:45 - 25.04.2018 10:00","66141","71273"
"25.04.2018 10:00 - 25.04.2018 10:15","66210","71753"
"25.04.2018 10:15 - 25.04.2018 10:30","66608","71977"
"25.04.2018 10:30 - 25.04.2018 10:45","66935","72295"
"25.04.2018 10:45 - 25.04.2018 11:00","67219","72412"
"25.04.2018 11:00 - 25.04.2018 11:15","67707","72837"
"25.04.2018 11:15 - 25.04.2018 11:30","67953","73507"
"25.04.2018 11:30 - 25.04.2018 11:45","68281","73737"
"25.04.2018 11:45 - 25.04.2018 12:00","68032","73341"
"25.04.2018 12:00 - 25.04.2018 12:15","67863","73593"
"25.04.2018 12:15 - 25.04.2018 12:30","67688","73115"
"25.04.2018 12:30 - 25.04.2018 12:45","67593","72801"
"25.04.2018 12:45 - 25.04.2018 13:00","67764","73129"
"25.04.2018 13:00 - 25.04.2018 13:15","67257","73104"
"25.04.2018 13:15 - 25.04.2018 13:30","67408","72980"
"25.04.2018 13:30 - 25.04.2018 13:45","67007","72519"
"25.04.2018 13:45 - 25.04.2018 14:00","66373","71826"
"25.04.2018 14:00 - 25.04.2018 14:15","66084","71251"
"25.04.2018 14:15 - 25.04.2018 14:30","65609","70393"
"25.04.2018 14:30 - 25.04.2018 14:45","65414","69963"
"25.04.2018 14:45 - 25.04.2018 15:00","65803","69239"
"25.04.2018 15:00 - 25.04.2018 15:15","65805","69125"
"25.04.2018 15:15 - 25.04.2018 15:30","65093","69268"
"25.04.2018 15:30 - 25.04.2018 15:45","64746","68869"
"25.04.2018 15:45 - 25.04.2018 16:00","64333","68550"
"25.04.2018 16:00 - 25.04.2018 16:15","64281","67911"
"25.04.2018 16:15 - 25.04.2018 16:30","64225","67282"
"25.04.2018 16:30 - 25.04.2018 16:45","64189","66906"
"25.04.2018 16:45 - 25.04.2018 17:00","63577","66777"
"25.04.2018 17:00 - 25.04.2018 17:15","63526","67301"
"25.04.2018 17:15 - 25.04.2018 17:30","63545","67218"
"25.04.2018 17:30 - 25.04.2018 17:45","63240","66812"
"25.04.2018 17:45 - 25.04.2018 18:00","63304","66423"
"25.04.2018 18:00 - 25.04.2018 18:15","63093","65572"
"25.04.2018 18:15 - 25.04.2018 18:30","62942","64937"
"25.04.2018 18:30 - 25.04.2018 18:45","63176","65330"
"25.04.2018 18:45 - 25.04.2018 19:00","62947","65058"
"25.04.2018 19:00 - 25.04.2018 19:15","62924","65468"
"25.04.2018 19:15 - 25.04.2018 19:30","62636","66199"
"25.04.2018 19:30 - 25.04.2018 19:45","62437","65542"
"25.04.2018 19:45 - 25.04.2018 20:00","61834","65289"
"25.04.2018 20:00 - 25.04.2018 20:15","61387","65308"
"25.04.2018 20:15 - 25.04.2018 20:30","60825","64416"
"25.04.2018 20:30 - 25.04.2018 20:45","60557","64099"
"25.04.2018 20:45 - 25.04.2018 21:00","60262","63791"
"25.04.2018 21:00 - 25.04.2018 21:15","59534","62464"
"25.04.2018 21:15 - 25.04.2018 21:30","59018","61666"
"25.04.2018 21:30 - 25.04.2018 21:45","58311","60587"
"25.04.2018 21:45 - 25.04.2018 22:00","57272","59210"
"25.04.2018 22:00 - 25.04.2018 22:15","56570","57959"
"25.04.2018 22:15 - 25.04.2018 22:30","55140","56621"
"25.04.2018 22:30 - 25.04.2018 22:45","54163","55581"
"25.04.2018 22:45 - 25.04.2018 23:00","52688","54795"
"25.04.2018 23:00 - 25.04.2018 23:15","51613","53816"
"25.04.2018 23:15 - 25.04.2018 23:30","50426","52294"
"25.04.2018 23:30 - 25.04.2018 23:45","49253","51266"
"25.04.2018 23:45 - 26.04.2018 00:00","48474","50305"
"26.04.2018 00:00 - 26.04.2018 00:15","46772","49382"
"26.04.2018 00:15 - 26.04.2018 00:30","46163","48604"
"26.04.2018 00:30 - 26.04.2018 00:45","45689","48002"
"26.04.2018 00:45 - 26.04.2018 01:00","45200","47455"
"26.04.2018 01:00 - 26.04.2018 01:15","44620","46893"
"26.04.2018 01:15 - 26.04.2018 01:30","44256","46438"
"26.04.2018 01:30 - 26.04.2018 01:45","44023","46283"
"26.04.2018 01:45 - 26.04.2018 02:00","43776","46148"
"26.04.2018 02:00 - 26.04.2018 02:15","43421","45452"
"26.04.2018 02:15 - 26.04.2018 02:30","43228","45577"
"26.04.2018 02:30 - 26.04.2018 02:45","43245","45624"
"26.04.2018 02:45 - 26.04.2018 03:00","43357","45782"
"26.04.2018 03:00 - 26.04.2018 03:15","43519","45948"
"26.04.2018 03:15 - 26.04.2018 03:30","43702","46112"
"26.04.2018 03:30 - 26.04.2018 03:45","43766","46156"
"26.04.2018 03:45 - 26.04.2018 04:00","43990","46322"
"26.04.2018 04:00 - 26.04.2018 04:15","44520","46657"
"26.04.2018 04:15 - 26.04.2018 04:30","44957","47001"
"26.04.2018 04:30 - 26.04.2018 04:45","45476","47734"
"26.04.2018 04:45 - 26.04.2018 05:00","46061","48431"
"26.04.2018 05:00 - 26.04.2018 05:15","47228","49875"
"26.04.2018 05:15 - 26.04.2018 05:30","48027","51236"
"26.04.2018 05:30 - 26.04.2018 05:45","49163","52368"
"26.04.2018 05:45 - 26.04.2018 06:00","50947","53802"
"26.04.2018 06:00 - 26.04.2018 06:15","53706","56537"
"26.04.2018 06:15 - 26.04.2018 06:30","55903","58635"
"26.04.2018 06:30 - 26.04.2018 06:45","57717","60172"
"26.04.2018 06:45 - 26.04.2018 07:00","59052","61806"
"26.04.2018 07:00 - 26.04.2018 07:15","60653","63608"
"26.04.2018 07:15 - 26.04.2018 07:30","61640","64629"
"26.04.2018 07:30 - 26.04.2018 07:45","62438","65675"
"26.04.2018 07:45 - 26.04.2018 08:00","63106","67052"
"26.04.2018 08:00 - 26.04.2018 08:15","63922","67999"
"26.04.2018 08:15 - 26.04.2018 08:30","64696","68422"
"26.04.2018 08:30 - 26.04.2018 08:45","65032","68711"
"26.04.2018 08:45 - 26.04.2018 09:00","65107","69174"
"26.04.2018 09:00 - 26.04.2018 09:15","64797","68867"
"26.04.2018 09:15 - 26.04.2018 09:30","65323","69569"
"26.04.2018 09:30 - 26.04.2018 09:45","65771","70426"
"26.04.2018 09:45 - 26.04.2018 10:00","66025","70873"
"26.04.2018 10:00 - 26.04.2018 10:15","66510","70642"
"26.04.2018 10:15 - 26.04.2018 10:30","66822","70717"
"26.04.2018 10:30 - 26.04.2018 10:45","67141","71242"
"26.04.2018 10:45 - 26.04.2018 11:00","67497","71379"
"26.04.2018 11:00 - 26.04.2018 11:15","67840","70986"
"26.04.2018 11:15 - 26.04.2018 11:30","68146","71489"
"26.04.2018 11:30 - 26.04.2018 11:45","68474","72428"
"26.04.2018 11:45 - 26.04.2018 12:00","67898","72610"
"26.04.2018 12:00 - 26.04.2018 12:15","67705","72400"
"26.04.2018 12:15 - 26.04.2018 12:30","67743","72320"
"26.04.2018 12:30 - 26.04.2018 12:45","67466","72063"
"26.04.2018 12:45 - 26.04.2018 13:00","67703","72234"
"26.04.2018 13:00 - 26.04.2018 13:15","67150","71951"
"26.04.2018 13:15 - 26.04.2018 13:30","67090","71749"
"26.04.2018 13:30 - 26.04.2018 13:45","66892","71407"
"26.04.2018 13:45 - 26.04.2018 14:00","65980","70395"
"26.04.2018 14:00 - 26.04.2018 14:15","65813","70011"
"26.04.2018 14:15 - 26.04.2018 14:30","65568","70072"
"26.04.2018 14:30 - 26.04.2018 14:45","65191","70032"
"26.04.2018 14:45 - 26.04.2018 15:00","65585","69632"
"26.04.2018 15:00 - 26.04.2018 15:15","65585","69641"
"26.04.2018 15:15 - 26.04.2018 15:30","64519","68991"
"26.04.2018 15:30 - 26.04.2018 15:45","64155","68235"
"26.04.2018 15:45 - 26.04.2018 16:00","63643","67648"
"26.04.2018 16:00 - 26.04.2018 16:15","63289","67681"
"26.04.2018 16:15 - 26.04.2018 16:30","63404","67915"
"26.04.2018 16:30 - 26.04.2018 16:45","63229","67508"
"26.04.2018 16:45 - 26.04.2018 17:00","62611","66996"
"26.04.2018 17:00 - 26.04.2018 17:15","62605","67145"
"26.04.2018 17:15 - 26.04.2018 17:30","62576","N/A"
"26.04.2018 17:30 - 26.04.2018 17:45","62436","N/A"
"26.04.2018 17:45 - 26.04.2018 18:00","62393","65898"
"26.04.2018 18:00 - 26.04.2018 18:15","61934","66157"
"26.04.2018 18:15 - 26.04.2018 18:30","61737","65919"
"26.04.2018 18:30 - 26.04.2018 18:45","61825","66215"
"26.04.2018 18:45 - 26.04.2018 19:00","61937","66327"
"26.04.2018 19:00 - 26.04.2018 19:15","61872","67244"
"26.04.2018 19:15 - 26.04.2018 19:30","61531","66517"
"26.04.2018 19:30 - 26.04.2018 19:45","61190","66276"
"26.04.2018 19:45 - 26.04.2018 20:00","60859","66124"
"26.04.2018 20:00 - 26.04.2018 20:15","60455","64581"
"26.04.2018 20:15 - 26.04.2018 20:30","59948","64059"
"26.04.2018 20:30 - 26.04.2018 20:45","59513","63663"
"26.04.2018 20:45 - 26.04.2018 21:00","59215","63952"
"26.04.2018 21:00 - 26.04.2018 21:15","58504","63928"
"26.04.2018 21:15 - 26.04.2018 21:30","57989","63122"
"26.04.2018 21:30 - 26.04.2018 21:45","57028","62271"
"26.04.2018 21:45 - 26.04.2018 22:00","56194","60771"
"26.04.2018 22:00 - 26.04.2018 22:15","55545","59331"
"26.04.2018 22:15 - 26.04.2018 22:30","54402","57978"
"26.04.2018 22:30 - 26.04.2018 22:45","53230","56819"
"26.04.2018 22:45 - 26.04.2018 23:00","51947","55670"
"26.04.2018 23:00 - 26.04.2018 23:15","50577","54073"
"26.04.2018 23:15 - 26.04.2018 23:30","49508","53141"
"26.04.2018 23:30 - 26.04.2018 23:45","48464","52135"
"26.04.2018 23:45 - 27.04.2018 00:00","47640","51555"
"27.04.2018 00:00 - 27.04.2018 00:15","47522","50512"
"27.04.2018 00:15 - 27.04.2018 00:30","46817","49687"
"27.04.2018 00:30 - 27.04.2018 00:45","46322","49357"
"27.04.2018 00:45 - 27.04.2018 01:00","45776","48397"
"27.04.2018 01:00 - 27.04.2018 01:15","45179","47894"
"27.04.2018 01:15 - 27.04.2018 01:30","44782","47560"
"27.04.2018 01:30 - 27.04.2018 01:45","44538","47008"
"27.04.2018 01:45 - 27.04.2018 02:00","44198","46762"
"27.04.2018 02:00 - 27.04.2018 02:15","43929","46062"
"27.04.2018 02:15 - 27.04.2018 02:30","43819","45865"
"27.04.2018 02:30 - 27.04.2018 02:45","43912","46115"
"27.04.2018 02:45 - 27.04.2018 03:00","44040","46261"
"27.04.2018 03:00 - 27.04.2018 03:15","44170","46767"
"27.04.2018 03:15 - 27.04.2018 03:30","44327","46840"
"27.04.2018 03:30 - 27.04.2018 03:45","44366","47149"
"27.04.2018 03:45 - 27.04.2018 04:00","44534","47372"
"27.04.2018 04:00 - 27.04.2018 04:15","44998","47887"
"27.04.2018 04:15 - 27.04.2018 04:30","45289","48026"
"27.04.2018 04:30 - 27.04.2018 04:45","45916","48511"
"27.04.2018 04:45 - 27.04.2018 05:00","46420","49105"
"27.04.2018 05:00 - 27.04.2018 05:15","47612","50941"
"27.04.2018 05:15 - 27.04.2018 05:30","48407","51709"
"27.04.2018 05:30 - 27.04.2018 05:45","49483","52534"
"27.04.2018 05:45 - 27.04.2018 06:00","50905","53740"
"27.04.2018 06:00 - 27.04.2018 06:15","53490","56525"
"27.04.2018 06:15 - 27.04.2018 06:30","55264","58719"
"27.04.2018 06:30 - 27.04.2018 06:45","56761","60051"
"27.04.2018 06:45 - 27.04.2018 07:00","58120","61450"
"27.04.2018 07:00 - 27.04.2018 07:15","59730","63072"
"27.04.2018 07:15 - 27.04.2018 07:30","60919","63954"
"27.04.2018 07:30 - 27.04.2018 07:45","62434","64718"
"27.04.2018 07:45 - 27.04.2018 08:00","62880","65662"
"27.04.2018 08:00 - 27.04.2018 08:15","63905","66261"
"27.04.2018 08:15 - 27.04.2018 08:30","64571","66413"
"27.04.2018 08:30 - 27.04.2018 08:45","64832","66723"
"27.04.2018 08:45 - 27.04.2018 09:00","64880","66806"
"27.04.2018 09:00 - 27.04.2018 09:15","64525","66736"
"27.04.2018 09:15 - 27.04.2018 09:30","65030","66536"
"27.04.2018 09:30 - 27.04.2018 09:45","65517","67052"
"27.04.2018 09:45 - 27.04.2018 10:00","65793","67204"
"27.04.2018 10:00 - 27.04.2018 10:15","66325","67056"
"27.04.2018 10:15 - 27.04.2018 10:30","66700","66861"
"27.04.2018 10:30 - 27.04.2018 10:45","67069","67014"
"27.04.2018 10:45 - 27.04.2018 11:00","67194","67712"
"27.04.2018 11:00 - 27.04.2018 11:15","67426","66994"
"27.04.2018 11:15 - 27.04.2018 11:30","67722","66983"
"27.04.2018 11:30 - 27.04.2018 11:45","67744","67219"
"27.04.2018 11:45 - 27.04.2018 12:00","67360","67876"
"27.04.2018 12:00 - 27.04.2018 12:15","67239","67554"
"27.04.2018 12:15 - 27.04.2018 12:30","66940","67353"
"27.04.2018 12:30 - 27.04.2018 12:45","66779","67119"
"27.04.2018 12:45 - 27.04.2018 13:00","66796","66858"
"27.04.2018 13:00 - 27.04.2018 13:15","65957","66372"
"27.04.2018 13:15 - 27.04.2018 13:30","65695","66113"
"27.04.2018 13:30 - 27.04.2018 13:45","65115","65042"
"27.04.2018 13:45 - 27.04.2018 14:00","64461","64377"
"27.04.2018 14:00 - 27.04.2018 14:15","64110","64026"
"27.04.2018 14:15 - 27.04.2018 14:30","63451","63267"
"27.04.2018 14:30 - 27.04.2018 14:45","63230","63205"
"27.04.2018 14:45 - 27.04.2018 15:00","63562","63231"
"27.04.2018 15:00 - 27.04.2018 15:15","63638","63033"
"27.04.2018 15:15 - 27.04.2018 15:30","62782","62707"
"27.04.2018 15:30 - 27.04.2018 15:45","62469","62280"
"27.04.2018 15:45 - 27.04.2018 16:00","62014","61787"
"27.04.2018 16:00 - 27.04.2018 16:15","61965","61355"
"27.04.2018 16:15 - 27.04.2018 16:30","61935","61081"
"27.04.2018 16:30 - 27.04.2018 16:45","61864","61003"
"27.04.2018 16:45 - 27.04.2018 17:00","61181","61211"
"27.04.2018 17:00 - 27.04.2018 17:15","61421","61845"
"27.04.2018 17:15 - 27.04.2018 17:30","61369","61651"
