"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"03.01.2017 05:15 - 03.01.2017 05:30","47299","50098"
"03.01.2017 05:30 - 03.01.2017 05:45","48049","50622"
"03.01.2017 05:45 - 03.01.2017 06:00","49124","51700"
"03.01.2017 06:00 - 03.01.2017 06:15","50727","53605"
"03.01.2017 06:15 - 03.01.2017 06:30","53087","55663"
"03.01.2017 06:30 - 03.01.2017 06:45","54416","56658"
"03.01.2017 06:45 - 03.01.2017 07:00","55394","58066"
"03.01.2017 07:00 - 03.01.2017 07:15","57103","59895"
"03.01.2017 07:15 - 03.01.2017 07:30","59374","61278"
"03.01.2017 07:30 - 03.01.2017 07:45","58562","63009"
"03.01.2017 07:45 - 03.01.2017 08:00","59938","64642"
"03.01.2017 08:00 - 03.01.2017 08:15","60396","65825"
"03.01.2017 08:15 - 03.01.2017 08:30","61213","65860"
"03.01.2017 08:30 - 03.01.2017 08:45","61124","66279"
"03.01.2017 08:45 - 03.01.2017 09:00","61031","66405"
"03.01.2017 09:00 - 03.01.2017 09:15","60902","66926"
"03.01.2017 09:15 - 03.01.2017 09:30","61319","67497"
"03.01.2017 09:30 - 03.01.2017 09:45","61200","67812"
"03.01.2017 09:45 - 03.01.2017 10:00","61597","68079"
"03.01.2017 10:00 - 03.01.2017 10:15","61801","68441"
"03.01.2017 10:15 - 03.01.2017 10:30","62287","68815"
"03.01.2017 10:30 - 03.01.2017 10:45","62391","69541"
"03.01.2017 10:45 - 03.01.2017 11:00","62759","69926"
"03.01.2017 11:00 - 03.01.2017 11:15","62868","70381"
"03.01.2017 11:15 - 03.01.2017 11:30","63097","70771"
"03.01.2017 11:30 - 03.01.2017 11:45","63631","71084"
"03.01.2017 11:45 - 03.01.2017 12:00","63454","71049"
"03.01.2017 12:00 - 03.01.2017 12:15","63503","70764"
"03.01.2017 12:15 - 03.01.2017 12:30","63878","71046"
"03.01.2017 12:30 - 03.01.2017 12:45","63570","71400"
"03.01.2017 12:45 - 03.01.2017 13:00","63623","71097"
"03.01.2017 13:00 - 03.01.2017 13:15","63333","70677"
"03.01.2017 13:15 - 03.01.2017 13:30","63148","70483"
"03.01.2017 13:30 - 03.01.2017 13:45","62829","70655"
"03.01.2017 13:45 - 03.01.2017 14:00","62216","70343"
"03.01.2017 14:00 - 03.01.2017 14:15","61894","70406"
"03.01.2017 14:15 - 03.01.2017 14:30","61287","70230"
"03.01.2017 14:30 - 03.01.2017 14:45","61437","70075"
"03.01.2017 14:45 - 03.01.2017 15:00","61760","69803"
"03.01.2017 15:00 - 03.01.2017 15:15","62306","70009"
"03.01.2017 15:15 - 03.01.2017 15:30","61244","70013"
"03.01.2017 15:30 - 03.01.2017 15:45","61360","69929"
"03.01.2017 15:45 - 03.01.2017 16:00","61483","69674"
"03.01.2017 16:00 - 03.01.2017 16:15","61534","70154"
"03.01.2017 16:15 - 03.01.2017 16:30","62650","70750"
"03.01.2017 16:30 - 03.01.2017 16:45","64016","71597"
"03.01.2017 16:45 - 03.01.2017 17:00","63846","72480"
"03.01.2017 17:00 - 03.01.2017 17:15","65195","73235"
"03.01.2017 17:15 - 03.01.2017 17:30","65632","74063"
"03.01.2017 17:30 - 03.01.2017 17:45","66211","74349"
"03.01.2017 17:45 - 03.01.2017 18:00","65839","74445"
"03.01.2017 18:00 - 03.01.2017 18:15","65356","73978"
"03.01.2017 18:15 - 03.01.2017 18:30","65445","73555"
"03.01.2017 18:30 - 03.01.2017 18:45","65219","73367"
"03.01.2017 18:45 - 03.01.2017 19:00","65339","73101"
"03.01.2017 19:00 - 03.01.2017 19:15","64662","72907"
"03.01.2017 19:15 - 03.01.2017 19:30","64122","72447"
"03.01.2017 19:30 - 03.01.2017 19:45","63517","71921"
"03.01.2017 19:45 - 03.01.2017 20:00","62669","71353"
"03.01.2017 20:00 - 03.01.2017 20:15","61358","70101"
"03.01.2017 20:15 - 03.01.2017 20:30","59588","68839"
"03.01.2017 20:30 - 03.01.2017 20:45","59017","67884"
"03.01.2017 20:45 - 03.01.2017 21:00","58240","66997"
"03.01.2017 21:00 - 03.01.2017 21:15","57338","66258"
"03.01.2017 21:15 - 03.01.2017 21:30","57146","65974"
"03.01.2017 21:30 - 03.01.2017 21:45","56746","65285"
"03.01.2017 21:45 - 03.01.2017 22:00","55843","64743"
"03.01.2017 22:00 - 03.01.2017 22:15","55865","65441"
"03.01.2017 22:15 - 03.01.2017 22:30","55474","63089"
"03.01.2017 22:30 - 03.01.2017 22:45","54318","62405"
"03.01.2017 22:45 - 03.01.2017 23:00","53159","60776"
"03.01.2017 23:00 - 03.01.2017 23:15","51713","59929"
"03.01.2017 23:15 - 03.01.2017 23:30","50790","59044"
"03.01.2017 23:30 - 03.01.2017 23:45","49595","57883"
"03.01.2017 23:45 - 04.01.2017 00:00","48870","56191"
"04.01.2017 00:00 - 04.01.2017 00:15","48044","55049"
"04.01.2017 00:15 - 04.01.2017 00:30","47344","54387"
"04.01.2017 00:30 - 04.01.2017 00:45","46768","53638"
"04.01.2017 00:45 - 04.01.2017 01:00","46300","52988"
"04.01.2017 01:00 - 04.01.2017 01:15","45796","52502"
"04.01.2017 01:15 - 04.01.2017 01:30","45114","52260"
"04.01.2017 01:30 - 04.01.2017 01:45","44762","52210"
"04.01.2017 01:45 - 04.01.2017 02:00","44552","51922"
"04.01.2017 02:00 - 04.01.2017 02:15","44180","51484"
"04.01.2017 02:15 - 04.01.2017 02:30","44126","51420"
"04.01.2017 02:30 - 04.01.2017 02:45","44023","51330"
"04.01.2017 02:45 - 04.01.2017 03:00","44031","51336"
"04.01.2017 03:00 - 04.01.2017 03:15","44197","51190"
"04.01.2017 03:15 - 04.01.2017 03:30","44119","51164"
"04.01.2017 03:30 - 04.01.2017 03:45","44047","51663"
"04.01.2017 03:45 - 04.01.2017 04:00","44445","52078"
"04.01.2017 04:00 - 04.01.2017 04:15","44887","52124"
"04.01.2017 04:15 - 04.01.2017 04:30","45353","51997"
"04.01.2017 04:30 - 04.01.2017 04:45","45552","52343"
"04.01.2017 04:45 - 04.01.2017 05:00","46185","52962"
"04.01.2017 05:00 - 04.01.2017 05:15","47261","53584"
"04.01.2017 05:15 - 04.01.2017 05:30","47584","54109"
"04.01.2017 05:30 - 04.01.2017 05:45","48310","55089"
"04.01.2017 05:45 - 04.01.2017 06:00","49389","55959"
"04.01.2017 06:00 - 04.01.2017 06:15","51032","57232"
"04.01.2017 06:15 - 04.01.2017 06:30","52409","59765"
"04.01.2017 06:30 - 04.01.2017 06:45","54529","61043"
"04.01.2017 06:45 - 04.01.2017 07:00","55937","62565"
"04.01.2017 07:00 - 04.01.2017 07:15","57434","64585"
"04.01.2017 07:15 - 04.01.2017 07:30","58977","66099"
"04.01.2017 07:30 - 04.01.2017 07:45","59122","68007"
"04.01.2017 07:45 - 04.01.2017 08:00","61211","68592"
"04.01.2017 08:00 - 04.01.2017 08:15","60959","69226"
"04.01.2017 08:15 - 04.01.2017 08:30","62515","69916"
"04.01.2017 08:30 - 04.01.2017 08:45","63086","70337"
"04.01.2017 08:45 - 04.01.2017 09:00","63067","70712"
"04.01.2017 09:00 - 04.01.2017 09:15","62813","70418"
"04.01.2017 09:15 - 04.01.2017 09:30","63594","71599"
"04.01.2017 09:30 - 04.01.2017 09:45","63778","71598"
"04.01.2017 09:45 - 04.01.2017 10:00","63572","72215"
"04.01.2017 10:00 - 04.01.2017 10:15","63290","72018"
"04.01.2017 10:15 - 04.01.2017 10:30","64438","72455"
"04.01.2017 10:30 - 04.01.2017 10:45","64115","72392"
"04.01.2017 10:45 - 04.01.2017 11:00","64353","72291"
"04.01.2017 11:00 - 04.01.2017 11:15","64776","72631"
"04.01.2017 11:15 - 04.01.2017 11:30","65048","72979"
"04.01.2017 11:30 - 04.01.2017 11:45","65486","73239"
"04.01.2017 11:45 - 04.01.2017 12:00","64958","73390"
"04.01.2017 12:00 - 04.01.2017 12:15","65050","73526"
"04.01.2017 12:15 - 04.01.2017 12:30","65634","72959"
"04.01.2017 12:30 - 04.01.2017 12:45","65132","72658"
"04.01.2017 12:45 - 04.01.2017 13:00","64854","72718"
"04.01.2017 13:00 - 04.01.2017 13:15","65428","72295"
"04.01.2017 13:15 - 04.01.2017 13:30","64590","72446"
"04.01.2017 13:30 - 04.01.2017 13:45","64455","71659"
"04.01.2017 13:45 - 04.01.2017 14:00","63788","71044"
"04.01.2017 14:00 - 04.01.2017 14:15","62713","70519"
