DK onwind,DK offwind,DK solar,DK ocgt,NO onwind,NO offwind,NO solar,NO ocgt,SE onwind,SE offwind,SE solar,SE ocgt,DK onwind g,DK offwind g,DK solar g,DK ocgt g,NO onwind g,NO offwind g,NO solar g,NO ocgt g,SE onwind g,SE offwind g,SE solar g,SE ocgt g,NO-DK,NO-SE,SE-DK,co2_emission,objective_value,transmission,gini
29109.6648774,1.12476514851e-06,4.44110510758e-06,13583.6045202,2.31295834932e-06,1.27825038946e-06,1.75593468814e-06,16929.5928075,2.77565712495e-06,1.02177556865e-06,5.52565451338e-06,20959.3915379,116520522.93763687,0.0045048066303814,0.0033093543481453607,33146723.645049635,0.004398055383947499,0.004278595038960819,0.0009087112893605792,57917391.75956143,0.006441800808632842,0.003493148097022902,0.00420917978762315,89066892.62621605,12569.1144392,3.19563246213e-06,10350.1590941,86462883.85479696,18063352362.729034,22919.27353649563,0.42113280841752787
33558.8819637,1.8159203553e-10,4.56349384686e-10,13506.6933288,17603.5640106,2.65198151579e-10,2.41931160842e-10,16422.114138,2.49421113776e-09,2.17618771405e-10,4.39767837218e-10,16342.6052676,127156817.62737021,6.669787729575815e-07,3.1192428449610273e-07,31444007.68185507,38803524.61533413,8.526266362843806e-07,1.1977850087017142e-07,49633069.73392138,5.899323660717375e-06,7.18349954337047e-07,3.017322449051806e-07,49614111.341513164,8107.6026562,1.59513176669e-09,16015.0,62731770.60349916,18063352362.731037,24122.602656201594,0.4881927634944372
33558.8819628,6.60768427746e-08,1.72717442332e-07,13507.0035025,17603.5640087,9.58097483436e-08,9.10027557477e-08,16423.3885918,9.24723304862e-07,7.85592876838e-08,1.68385386108e-07,16341.0206402,127156642.57554449,0.00024152925811576838,0.00011797275252730035,31451930.813003324,38803699.66117921,0.00030690470171880723,4.554718283759115e-05,49636991.78428594,0.002184905140265831,0.00025836366342677414,0.00011608977226238386,49602266.16270079,8107.60265763,6.06995546819e-07,16014.9999983,62731770.6047985,18063352362.73801,24122.602656536998,0.4882419252759702
33558.8819634,2.30261549702e-08,5.97008124577e-08,13509.9666536,17603.56401,3.33909392188e-08,3.14402637068e-08,16422.6155096,3.22141425881e-07,2.74214896831e-08,5.83771839653e-08,16338.8305712,127151998.68448944,8.423910498091519e-05,4.07554243175661e-05,31479290.408174492,38808343.555866905,0.00010689667052740522,1.5690494245713198e-05,49623374.344144225,0.0007614154018003028,9.009560592912027e-05,4.017539045428497e-05,49588524.00618795,8107.60265614,2.31946267523e-07,16014.9999995,62731770.60408167,18063352362.73924,24122.602655871946,0.4883235652850646
30609.4617111,2.20488674017e-08,6.73836364664e-08,13081.5217231,16907.8954869,3.23058620765e-08,2.91465553546e-08,16604.1974514,932.635153061,2.85463001265e-08,6.8175824312e-08,16768.2060024,118261958.9238962,8.517494136120904e-05,4.822513469078036e-05,30505029.03683647,37679285.744642965,0.00010822368689588784,1.5049515823760812e-05,53333017.6377096,2358248.056231573,9.91471778696414e-05,4.9490651018358914e-05,54513991.60029331,7606.48109535,1.42231334809e-07,14891.747246,66408978.37192185,18063352362.72957,22498.22834149223,0.4489519488420566
29332.6642921,1.27661486971e-07,1.53178652564e-07,12502.5908163,2.4994854043e-06,1.92114122805e-07,1.64076742999e-07,13909.1376425,29396.1901213,1.46555218804e-07,1.74947270691e-07,19971.7285529,105465298.22161756,0.00044313969057555296,9.089864544742168e-05,26097900.52045676,0.004791342061288549,0.0006029625672487722,7.772994206106562e-05,34553573.257070795,72688605.5610044,0.0004368285281058112,0.00010522607832388407,57846153.433314204,15808.5000004,495.500001854,3792.27539824,56878861.06120108,18063352362.733234,20096.275400494,0.4550142086207625
29109.6648621,2.31703086461e-11,9.31611310532e-11,13406.4615076,6.82222010815e-12,6.44922860053e-12,3.98207959086e-11,16819.9603402,1.0923216118e-11,9.29071341904e-12,1.14274484999e-10,21246.1670252,116520522.87430143,9.126270937159471e-08,6.896098579428714e-08,32665276.408291675,9.098166614369608e-09,1.678947379976101e-08,2.1134826255512076e-08,57493366.58678848,1.8774839100551886e-08,2.728328663615635e-08,8.712052265499723e-08,89972365.13065,12569.1144507,7.48783692572e-11,10350.1590668,86462883.90034932,18063352362.73656,22919.273517500078,0.4214463023399554
24138.5860228,5.39407154447e-07,7.12507387886e-07,11699.0153937,1.82880727979e-06,6.47292650162e-07,6.68178563268e-07,14190.3010139,31132.7019922,6.46271295905e-07,6.77568857808e-07,20741.032726,90886841.27673438,0.0020579749429262056,0.00045084631693569435,26063229.62745237,0.0034224310112540143,0.002074886144706455,0.00031477531311430043,39844619.01549556,77162203.37045068,0.0019902062723762552,0.00039776796247115864,62694637.69915423,14827.7668442,848.233154261,1957.68374072,61729193.444209285,18063352362.73609,17633.683739181,0.4104475352062098
18258.0879469,5.68328350939e-08,9.27912560836e-08,9687.20263848,2.96744766057e-07,8.69349267819e-08,8.59624598724e-08,15187.56417,18850.0595144,8.12971234208e-08,1.47859413022e-07,22705.1328166,72951112.56243092,0.00022978618838720728,6.41260151103301e-05,22967028.62825415,0.000623182591684423,0.00030429740602188953,4.7467256362053606e-05,62751028.15777681,49755171.25665716,0.0002867124864672035,0.00010778298246392946,88227190.39322506,11142.2664803,7.32061594705e-07,1809.27665421,83493718.64604278,18063352362.725048,12951.543135242062,0.3007694766902935
29109.6648628,5.98101503031e-08,2.44735673647e-07,13387.8759724,2.95661279874e-08,2.40795578404e-08,1.03039231526e-07,16909.8331442,4.89416311531e-08,3.14921807503e-08,3.03944641828e-07,21174.879756,116520522.87946674,0.0002335043476680684,0.0001802033315609591,32410152.047846615,4.3469225520794374e-05,6.611283677425002e-05,5.512861451484288e-05,57936158.028846405,9.540686390702361e-05,9.56468037816677e-05,0.0002321930610224542,89784698.04285337,12569.1144523,2.10073524547e-07,10350.1590686,86462883.8973824,18063352362.729836,22919.273521110073,0.4196247326441217
40474.0201607,3017.42047604,4.14079831791e-06,15509.5991764,9.80538825785e-07,7.25785779039e-07,2.29079030268e-06,17211.3800229,4.79803459482e-06,1.27965539445e-06,4.9356569598e-06,18383.0386409,156209348.22277015,9760322.993345182,0.0027485531537370235,33474914.930818185,0.001426874835904065,0.0019637704259623623,0.0011595834674106088,44922813.862382166,0.010294178645491531,0.0038926391328076115,0.0034129577093355776,52284130.965786316,15573.0000013,5.63097242784e-06,16184.0000004,62727292.684314564,18063352362.72959,31757.00000733097,0.5579678494373872
